SegmentID,Regulation_1,Regulation_2,Regulation_3
1,"2.75,  M - F, 5:00 PM- 8 PM",,
8,"3.25,  M - S, 10:00 AM- 8 PM",,
10,"3.25,  M - S, 10:00 AM- 8 PM",,
11,"2.25, M - F, 8:00 AM- 10 AM","2.25,  M - F, 10:00 AM- 2 PM",
15,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
16,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
20,"3.25,  M - S, 10:00 AM- 8 PM",,
32,"3.25,  M - S, 10:00 AM- 8 PM",,
33,"3.25,  M - S, 10:00 AM- 8 PM",,
36,"3.25,  M - S, 10:00 AM- 8 PM",,
38,"3.25,  M - S, 5:00 PM- 8 PM",,
39,"3.75,  M - S, 10:00 AM- 8 PM",,
40,"3.75,  M - S, 10:00 AM- 8 PM",,
44,"3, M - F, 8:00 AM- 4 PM","3,  M - F, 7:00 PM- 8 PM","3,  S, 8:00 AM- 8 PM"
46,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
49,"3.25, M - S, 8:00 AM- 10 AM",,
59,"3.25,  M - S, 10:00 AM- 8 PM",,
60,"3.25,  M - S, 10:00 AM- 8 PM",,
65,"3.25, M - S, 8:00 AM- 10 AM",,
66,"3.25, M - S, 8:00 AM- 10 AM",,
67,"2.75,  M - S, 10:00 AM- 8 PM",,
68,"3.25,  M - F, 10:00 AM- 8 PM",,
76,"2.75,  M - S, 10:00 AM- 8 PM",,
78,"2.75,  M - S, 5:00 PM- 8 PM",,
79,"2.75,  M - S, 5:00 PM- 8 PM",,
90,"3.75,  M - S, 10:00 AM- 8 PM",,
91,"3.75,  M - S, 10:00 AM- 8 PM",,
93,"2.75, M - S, 8:00 AM- 8 PM",,
100,"2.75,  M - S, 10:00 AM- 8 PM",,
101,"2.75,  M - S, 10:00 AM- 8 PM",,
107,"2.75,  M - F, 5:00 PM- 8 PM",,
108,"2.75,  M - F, 5:00 PM- 8 PM",,
111,"2.75, M - S, 8:00 AM- 8 PM",,
116,"2.75, M - S, 8:00 AM- 2 PM",,
120,"2.75, M - S, 8:00 AM- 2 PM",,
121,"2.75, M - S, 8:00 AM- 2 PM",,
123,"1.25, M - F, 8:00 AM- 8 PM",,
124,"2.75, M - S, 8:00 AM- 2 PM",,
125,"2.75, M - S, 8:00 AM- 2 PM",,
126,"2.75,  M - S, 10:00 AM- 8 PM",,
127,"2.75,  M - S, 10:00 AM- 8 PM",,
128,"3, M - S, 8:00 AM- 8 PM",,
134,"2.75, M - F, 8:00 AM- 8 PM",,
135,"2.75, M - S, 8:00 AM- 8 PM",,
136,"2.75, M - S, 8:00 AM- 8 PM",,
139,"3.25,  M - F, 10:00 AM- 8 PM",,
142,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
143,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
148,"3, M - S, 8:00 AM- 8 PM",,
149,"3.75,  M - S, 10:00 AM- 8 PM",,
151,"2.75,  M - S, 5:00 PM- 8 PM",,
163,"2.25, M - S, 8:00 AM- 8 PM",,
164,"2.25, M - S, 8:00 AM- 8 PM",,
167,"2.75, M - S, 8:00 AM- 8 PM",,
168,"2.75, M - S, 8:00 AM- 8 PM",,
169,"2.75, M - S, 8:00 AM- 8 PM",,
172,"3.25,  M - S, 10:00 AM- 8 PM",,
176,"3.25,  M - S, 10:00 AM- 8 PM",,
180,"2.75, M - F, 8:00 AM- 8 PM",,
181,"3.25, M - S, 8:00 AM- 10 AM",,
187,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
188,"3, M - S, 8:00 AM- 8 PM",,
190,"3.25,  M - S, 10:00 AM- 8 PM",,
191,"3.25,  M - S, 10:00 AM- 8 PM",,
196,"3.25, M - S, 8:00 AM- 10 AM",,
202,"2.75, M - S, 8:00 AM- 8 PM",,
207,"3.25, M - S, 8:00 AM- 8 PM",,
213,"3.25, M - S, 8:00 AM- 8 PM",,
215,"3.25,  M - S, 10:00 AM- 8 PM",,
218,"2.75, M - S, 8:00 AM- 8 PM",,
219,"2.75, M - S, 8:00 AM- 8 PM",,
221,"3.25,  M - S, 5:00 PM- 8 PM",,
222,"3.25,  M - S, 5:00 PM- 8 PM",,
225,"3.25,  M - S, 10:00 AM- 8 PM",,
231,"3.25, M - S, 8:00 AM- 10 AM",,
232,"3.25, M - S, 8:00 AM- 10 AM",,
235,"3.25,  M - S, 5:00 PM- 8 PM",,
236,"2.75, M - S, 8:00 AM- 8 PM",,
238,"3.25,  M - S, 10:00 AM- 8 PM",,
239,"3.25, M - S, 8:00 AM- 8 PM",,
240,"3.25,  M - S, 10:00 AM- 8 PM",,
241,"3.25,  M - S, 10:00 AM- 8 PM",,
242,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
243,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
251,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
252,"2.25, M - S, 8:00 AM- 5 PM","3.25,  M - S, 5:00 PM- 8 PM",
253,"2.75, M - S, 8:00 AM- 8 PM",,
255,"2.75,  M - S, 10:00 AM- 8 PM",,
259,"2.75,  M - S, 5:00 PM- 8 PM",,
260,"2.75,  M - S, 5:00 PM- 8 PM",,
261,"2.75,  M - S, 5:00 PM- 8 PM",,
262,"2.75,  M - S, 5:00 PM- 8 PM",,
266,"2.75, M - S, 8:00 AM- 2 PM",,
268,"2.75, M - S, 8:00 AM- 2 PM",,
269,"3, M - S, 8:00 AM- 8 PM",,
270,"3, M - S, 8:00 AM- 8 PM",,
272,"2.25, M - F, 8:00 AM- 10 AM","2.25,  M - F, 10:00 AM- 2 PM",
273,"2.75,  M - S, 5:00 PM- 8 PM",,
274,"2.75,  M - S, 5:00 PM- 8 PM",,
275,"2.75,  M - S, 10:00 AM- 8 PM",,
